Uid,Sid,Key,Time,Value,UpdateTime
6804018672,893061509,calories,1748481660,"{""time"":1748481660,""calories"":2}",1748489703
6804018672,893061509,steps,1748481600,"{""time"":1748481600,""steps"":18,""distance"":14,""calories"":2}",1748489703
6804018672,893061509,heart_rate,1748481600,"{""time"":1748481600,""bpm"":86}",1748489703
6804018672,hlth.gen_125884730179666,calories,1748481600,"{""time"":1748481600,""calories"":0.39999998}",1748488483
6804018672,893061509,calories,1748481600,"{""time"":1748481600,""calories"":2}",1748489703
6804018672,hlth.gen_125884730179666,steps,1748481600,"{""time"":1748481600,""steps"":10,""distance"":6,""calories"":0.39999998}",1748488482
6804018672,hlth.gen_125884730179666,calories,1748481540,"{""time"":1748481540,""calories"":0.64}",1748488483
6804018672,893061509,calories,1748481540,"{""time"":1748481540,""calories"":2}",1748489703
6804018672,893061509,steps,1748481540,"{""time"":1748481540,""steps"":23,""distance"":18,""calories"":2}",1748489703
6804018672,hlth.gen_125884730179666,steps,1748481540,"{""time"":1748481540,""steps"":16,""distance"":9,""calories"":0.64}",1748488482
6804018672,893061509,calories,1748481480,"{""time"":1748481480,""calories"":2}",1748489703
6804018672,893061509,steps,1748481480,"{""time"":1748481480,""steps"":33,""distance"":25,""calories"":2}",1748489703
6804018672,893061509,heart_rate,1748481480,"{""time"":1748481480,""bpm"":86}",1748489703
6804018672,893061509,steps,1748481420,"{""time"":1748481420,""steps"":10,""distance"":7,""calories"":3}",1748489703
6804018672,893061509,calories,1748481420,"{""time"":1748481420,""calories"":3}",1748489703
6804018672,hlth.gen_125884730179666,steps,1748481420,"{""time"":1748481420,""steps"":28,""distance"":16,""calories"":1.12}",1748488482
6804018672,hlth.gen_125884730179666,calories,1748481420,"{""time"":1748481420,""calories"":1.12}",1748488483
6804018672,893061509,heart_rate,1748481360,"{""time"":1748481360,""bpm"":90}",1748489703
6804018672,893061509,calories,1748481360,"{""time"":1748481360,""calories"":2}",1748489703
6804018672,893061509,calories,1748481300,"{""time"":1748481300,""calories"":3}",1748489703
6804018672,893061509,calories,1748481240,"{""time"":1748481240,""calories"":3}",1748489703
6804018672,893061509,heart_rate,1748481240,"{""time"":1748481240,""bpm"":96}",1748489703
6804018672,893061509,calories,1748481180,"{""time"":1748481180,""calories"":2}",1748489703
6804018672,893061509,calories,1748481120,"{""time"":1748481120,""calories"":4}",1748489703
6804018672,893061509,heart_rate,1748481120,"{""time"":1748481120,""bpm"":85}",1748489703
6804018672,893061509,calories,1748481060,"{""time"":1748481060,""calories"":2}",1748489703
6804018672,893061509,calories,1748481000,"{""time"":1748481000,""calories"":2}",1748489703
6804018672,893061509,heart_rate,1748481000,"{""time"":1748481000,""bpm"":105}",1748489703
6804018672,893061509,calories,1748480940,"{""time"":1748480940,""calories"":3}",1748489703
6804018672,hlth.gen_125884730179666,calories,1748480880,"{""time"":1748480880,""calories"":0.59999996}",1748488483
6804018672,hlth.gen_125884730179666,steps,1748480880,"{""time"":1748480880,""steps"":15,""distance"":9,""calories"":0.59999996}",1748488482
6804018672,893061509,calories,1748480880,"{""time"":1748480880,""calories"":2}",1748489703
6804018672,893061509,calories,1748480820,"{""time"":1748480820,""calories"":3}",1748489703
6804018672,893061509,calories,1748480760,"{""time"":1748480760,""calories"":2}",1748489703
6804018672,893061509,calories,1748480700,"{""time"":1748480700,""calories"":4}",1748489703
6804018672,hlth.gen_125884730179666,steps,1748480640,"{""time"":1748480640,""steps"":5,""distance"":3,""calories"":0.19999999}",1748488482
6804018672,hlth.gen_125884730179666,calories,1748480640,"{""time"":1748480640,""calories"":0.19999999}",1748488483
6804018672,893061509,calories,1748480640,"{""time"":1748480640,""calories"":2}",1748489703
6804018672,hlth.gen_125884730179666,calories,1748480580,"{""time"":1748480580,""calories"":0.39999998}",1748488483
6804018672,hlth.gen_125884730179666,steps,1748480580,"{""time"":1748480580,""steps"":10,""distance"":6,""calories"":0.39999998}",1748488482
6804018672,hlth.gen_125884730179666,steps,1748480520,"{""time"":1748480520,""steps"":13,""distance"":7,""calories"":0.52}",1748488482
6804018672,hlth.gen_125884730179666,calories,1748480520,"{""time"":1748480520,""calories"":0.52}",1748488483
6804018672,893061509,valid_stand,1748480400,"{""end_time"":1748484000,""start_time"":1748480400}",1748492123
